representation,method,regime,seed,budget,split,trees,n,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,error_rate,ece,brier,auroc,auprc
alphaearth,source_only,none,44,0,target_val,500,2751,0.7334883720930233,0.9716574245224893,0.8359395706334481,0.731839350559117,555,573,46,1577,0.22500908760450744,0.14138137691207614,0.14969913937314858,0.9095438794282543,0.931162625850161
alphaearth,coral,none,44,0,target_val,500,2751,0.7386091127098321,0.9488601355514479,0.8306364617044228,0.7328520535913268,583,545,83,1540,0.22828062522719011,0.1303337592450466,0.144767645412557,0.9006272859558736,0.9135432208978276
alphaearth,importance,none,44,0,target_val,500,2751,0.7328385899814471,0.973505853357979,0.836200052924054,0.7314337777428193,552,576,43,1580,0.22500908760450744,0.1428610696130735,0.15164530918255664,0.907236074513968,0.9288936260387188
alphaearth,pseudo_label,none,44,0,target_val,500,2751,0.687526607066837,0.9950708564386938,0.8131923464249748,0.6721808182902689,394,734,8,1615,0.2697201017811705,0.2107380487244954,0.1885816474976054,0.9122304920840925,0.9320193370972787
alphaearth,target_full,none,44,9249,target_val,500,2751,0.8919402985074627,0.9205175600739371,0.9060036385688296,0.8800282835830678,947,181,129,1494,0.11268629589240277,0.02633633730461738,0.08470506665835273,0.9487126545273397,0.9574000053798183
alphaearth,source_only,none,45,0,target_val,500,2751,0.726605504587156,0.9759704251386322,0.8330265579805417,0.7238008154061956,532,596,39,1584,0.23082515448927662,0.15021141940206423,0.15394990384091015,0.9074518337899783,0.9287925300376105
alphaearth,coral,none,45,0,target_val,500,2751,0.7375954198473282,0.9525569932224276,0.8314062920139823,0.7324841703700791,578,550,77,1546,0.22791712104689205,0.13297091843776168,0.14625713479795724,0.9002206206875457,0.9139320472595831
alphaearth,importance,none,45,0,target_val,500,2751,0.7277752187931829,0.973505853357979,0.8328940432261466,0.7247848415726066,537,591,43,1580,0.23046165030897856,0.14868428621524993,0.15265924578032553,0.9092401777637944,0.9311739149373331
alphaearth,pseudo_label,none,45,0,target_val,500,2751,0.6858594411515665,0.9981515711645101,0.8130489335006273,0.6701750763623969,386,742,3,1620,0.2708106143220647,0.22482658702838304,0.1991355017258476,0.9099459017754531,0.9289564400841819
alphaearth,target_full,none,45,9249,target_val,500,2751,0.8943577430972389,0.9180529882932841,0.9060504712678625,0.8810123097494789,952,176,133,1490,0.11232279171210469,0.029651133777779646,0.08423297820706983,0.9491698457020752,0.9573861099888519
alphaearth,source_only,none,46,0,target_val,500,2751,0.7298294144767173,0.9753542821934689,0.834915611814346,0.7279253680470891,542,586,40,1583,0.22755361686659398,0.14666446105312247,0.15026023558022814,0.9085546641146987,0.9273831189248503
alphaearth,coral,none,46,0,target_val,500,2751,0.7376970855231725,0.9513247073321011,0.8310010764262648,0.7323112898362634,579,549,79,1544,0.22828062522719011,0.13410835595610687,0.14639150487130978,0.9002023221160359,0.916738578571538
alphaearth,importance,none,46,0,target_val,500,2751,0.7284921369102683,0.9704251386321626,0.8322324966974901,0.7250175338550884,541,587,48,1575,0.23082515448927662,0.14634252004936874,0.15297764522517332,0.906187320564754,0.9288488656480096
alphaearth,pseudo_label,none,46,0,target_val,500,2751,0.6803863922721546,0.9981515711645101,0.8091908091908092,0.6617530905467941,367,761,3,1620,0.2777171937477281,0.21795515936707047,0.19238395767715363,0.9119508243643021,0.9324804578713092
alphaearth,target_full,none,46,9249,target_val,500,2751,0.8938848920863309,0.9186691312384473,0.9061075660893345,0.880877118810713,951,177,132,1491,0.11232279171210469,0.03313626775028148,0.08465388091355837,0.9487011837810201,0.9582488118784702
presto_primary,source_only,none,42,0,target_val,500,2751,0.7602918186555497,0.8989525569932224,0.823828345567476,0.7455755692767531,668,460,164,1459,0.2268266085059978,0.06753462243015221,0.17004473372939452,0.8143197519696911,0.831438463835727
presto_primary,coral,none,42,0,target_val,500,2751,0.7230070635721494,0.8829328404189772,0.7950069348127601,0.6981153563797013,579,549,190,1433,0.26862958924027625,0.06475790770223891,0.1894256221058439,0.7744048321338209,0.8026302489085305
presto_primary,importance,none,42,0,target_val,500,2751,0.7580477673935618,0.8995686999383857,0.8227669766131305,0.7432240662812496,662,466,163,1460,0.22864412940748818,0.07471734987682488,0.17346004729528106,0.8053649226762453,0.82076015080347
