representation,score,quantile,n,score_mean,error_rate
temporal_reconstructed,entropy,3,275,0.5038365684237964,0.24
temporal_reconstructed,entropy,4,275,0.5464706185121907,0.2109090909090909
temporal_reconstructed,entropy,5,275,0.5838344527543289,0.16727272727272727
temporal_reconstructed,entropy,6,275,0.6152322214129204,0.19636363636363635
temporal_reconstructed,entropy,7,275,0.640360675758516,0.1890909090909091
temporal_reconstructed,entropy,8,275,0.660979155361412,0.20363636363636364
temporal_reconstructed,entropy,9,275,0.6778758772771155,0.2545454545454545
temporal_reconstructed,entropy,10,275,0.690271043270489,0.36727272727272725
temporal_reconstructed,confidence,1,276,0.09892181277328581,0.20652173913043478
temporal_reconstructed,confidence,2,275,0.16277242631055994,0.3018181818181818
temporal_reconstructed,confidence,3,275,0.20270858854244053,0.24
temporal_reconstructed,confidence,4,275,0.23625960259116607,0.2109090909090909
temporal_reconstructed,confidence,5,275,0.27085211979549806,0.16727272727272727
temporal_reconstructed,confidence,6,275,0.3055200321453642,0.19636363636363635
temporal_reconstructed,confidence,7,274,0.33925172983727825,0.1897810218978102
temporal_reconstructed,confidence,8,276,0.37425342903399483,0.2028985507246377
temporal_reconstructed,confidence,9,275,0.4137477431850694,0.2545454545454545
temporal_reconstructed,confidence,10,275,0.46649196120068126,0.36727272727272725
temporal_reconstructed,margin,1,276,0.19784362554657162,0.20652173913043478
temporal_reconstructed,margin,2,275,0.3255448526211199,0.3018181818181818
temporal_reconstructed,margin,3,275,0.40541717708488106,0.24
temporal_reconstructed,margin,4,275,0.47251920518233215,0.2109090909090909
temporal_reconstructed,margin,5,275,0.5417042395909961,0.16727272727272727
temporal_reconstructed,margin,6,275,0.6110400642907284,0.19636363636363635
temporal_reconstructed,margin,7,274,0.6785034596745565,0.1897810218978102
temporal_reconstructed,margin,8,276,0.7485068580679897,0.2028985507246377
temporal_reconstructed,margin,9,275,0.8274954863701388,0.2545454545454545
temporal_reconstructed,margin,10,275,0.9329839224013625,0.36727272727272725
temporal_reconstructed,vote_uncertainty,1,280,0.10383571428571428,0.24285714285714285
temporal_reconstructed,vote_uncertainty,2,274,0.17098540145985403,0.23722627737226276
temporal_reconstructed,vote_uncertainty,3,282,0.20938297872340422,0.2198581560283688
temporal_reconstructed,vote_uncertainty,4,268,0.24406716417910446,0.24253731343283583
temporal_reconstructed,vote_uncertainty,5,280,0.27751428571428577,0.18214285714285713
temporal_reconstructed,vote_uncertainty,6,275,0.31160727272727273,0.18181818181818182
temporal_reconstructed,vote_uncertainty,7,277,0.34443321299638985,0.18772563176895307
temporal_reconstructed,vote_uncertainty,8,278,0.38,0.22661870503597123
temporal_reconstructed,vote_uncertainty,9,273,0.4213406593406594,0.3076923076923077
temporal_reconstructed,vote_uncertainty,10,264,0.4730151515151515,0.3143939393939394
temporal_reconstructed,tree_variance,1,276,0.07022577455097392,0.19927536231884058
temporal_reconstructed,tree_variance,2,275,0.10949312647781914,0.28363636363636363
temporal_reconstructed,tree_variance,3,275,0.1326304424836464,0.24
temporal_reconstructed,tree_variance,4,275,0.14864905739699338,0.21818181818181817
temporal_reconstructed,tree_variance,5,275,0.1633707435560059,0.14909090909090908
temporal_reconstructed,tree_variance,6,275,0.1764552789012704,0.16727272727272727
temporal_reconstructed,tree_variance,7,275,0.18731458793821962,0.2
temporal_reconstructed,tree_variance,8,275,0.19628917217078523,0.20363636363636364
temporal_reconstructed,tree_variance,9,275,0.20402754051558414,0.26545454545454544
temporal_reconstructed,tree_variance,10,275,0.21479135220993356,0.4109090909090909
temporal_reconstructed,domain_probability,1,276,0.989083264335657,0.31521739130434784
temporal_reconstructed,domain_probability,2,279,0.9966844812508638,0.30824372759856633
temporal_reconstructed,domain_probability,3,272,0.9970195601736724,0.2647058823529412
temporal_reconstructed,domain_probability,4,1924,0.9999961820082307,0.20686070686070687
alphaearth,euclidean_nn,1,276,5.443152355111164,0.025362318840579712
alphaearth,euclidean_nn,2,275,5.956749869259921,0.04
alphaearth,euclidean_nn,3,275,6.2886339378356935,0.08727272727272728
alphaearth,euclidean_nn,4,275,6.622233302376487,0.06909090909090909
alphaearth,euclidean_nn,5,275,6.900751051469283,0.14909090909090908
alphaearth,euclidean_nn,6,275,7.2524224177273835,0.22181818181818183
alphaearth,euclidean_nn,7,274,7.680534535080847,0.27007299270072993
alphaearth,euclidean_nn,8,276,8.170411553935729,0.4492753623188406
alphaearth,euclidean_nn,9,275,8.799882489984686,0.4072727272727273
alphaearth,euclidean_nn,10,275,10.389195032986727,0.56
alphaearth,cosine_nn,1,276,0.05411679297685623,0.018115942028985508
alphaearth,cosine_nn,2,275,0.0668737143278122,0.03272727272727273
alphaearth,cosine_nn,3,275,0.075199194252491,0.05090909090909091
