representation,score,pool_quantile,actual_coverage,n,risk,f1
galileo,mahalanobis,0.7,0.6892039258451472,1896,0.285337552742616,0.8215110524579347
galileo,mahalanobis,0.8,0.8055252635405307,2216,0.26895306859205775,0.8346281908990011
galileo,mahalanobis,0.9,0.8818611414031261,2426,0.2749381698268755,0.8258940224484469
galileo,mahalanobis,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,centroid,0.5,0.5557978916757542,1529,0.2393721386527142,0.8611532625189682
galileo,centroid,0.7,0.7390039985459833,2033,0.2597147073290703,0.8453427065026362
galileo,centroid,0.8,0.8197019265721556,2255,0.26740576496674057,0.8372469635627531
galileo,centroid,0.9,0.9171210468920392,2523,0.25723345223939753,0.8295245600210139
galileo,centroid,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,entropy,0.5,0.5961468556888404,1640,0.19634146341463415,0.8889655172413793
galileo,entropy,0.7,0.7913486005089059,2177,0.20854386770785485,0.8661556603773585
galileo,entropy,0.8,0.8684114867320974,2389,0.22101297614064463,0.8525963149078727
galileo,entropy,0.9,0.9312977099236641,2562,0.2338017174082748,0.8391082460381413
galileo,entropy,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,confidence,0.5,0.5961468556888404,1640,0.19634146341463415,0.8889655172413793
galileo,confidence,0.7,0.7913486005089059,2177,0.20854386770785485,0.8661556603773585
galileo,confidence,0.8,0.8684114867320974,2389,0.22101297614064463,0.8525963149078727
galileo,confidence,0.9,0.9312977099236641,2562,0.2338017174082748,0.8391082460381413
galileo,confidence,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,margin,0.5,0.5961468556888404,1640,0.19634146341463415,0.8889655172413793
galileo,margin,0.7,0.7913486005089059,2177,0.20854386770785485,0.8661556603773585
galileo,margin,0.8,0.8684114867320974,2389,0.22101297614064463,0.8525963149078727
galileo,margin,0.9,0.9312977099236641,2562,0.2338017174082748,0.8391082460381413
galileo,margin,1.0,1.0,2751,0.247546346782988,0.8229789446321809
galileo,vote_uncertainty,0.5,0.6132315521628499,1687,0.17842323651452283,0.8922305764411027
galileo,vote_uncertainty,0.7,0.7888040712468194,2170,0.19262672811059908,0.8717791411042944
galileo,vote_uncertainty,0.8,0.8589603780443476,2363,0.20313161235717309,0.8611914401388086
